cell_type,count,rational
R1-6,8452,
Dm3,2545,
T2a,1781,
Tm3,1746,
T4c,1692,
KCab,1643,
T3,1615,
L5,1607,
Mi1,1580,
L1,1579,
T4d,1578,
Mi9,1569,
L2,1554,
Tm1,1544,
T5c,1529,
Tm2,1528,
Mi4,1528,
T5b,1520,
T4b,1507,
Tm9,1506,
Tm4,1489,
Tm20,1488,
T5a,1482,
T5d,1467,
T4a,1463,
C3,1460,
C2,1456,
T2,1454,
L3,1406,
L4,1398,
T1,1390,
R7,1343,
R8,1324,
Tm6,1297,
Dm2,1195,
TmY18,1128,
BM_InOm,1111,
TmY5a,1026,
Mi15,980,
Mi2,829,
Tm5Y,808,
Dm8,764,
CB3851,748,
TmY3,734,
TmY9,727,
Mi13,720,
Tm12,720,
Tm5c,607,
Y3,576,
Dm21,523,
CB3864,501,
Dm10,494,
L1-3,487,
Pm1,476,
Tm5a,450,
CB3816,426,
TmY4,426,
CB3852,408,
Mi10,401,
Dm15,388,
TmY11,371,
TmY14,370,
Lawf1,355,
Tm16,343,
KCapbp-m,338,1
TmYem1,316,
Am,313,
Lawf2,313,
Pm2,307,
JO-B,299,
KCapbp-ap2,298,1
TmY20,283,
KCapbp-ap1,280,1
MeTu4,278,
MeTu3,274,
ocellar_retinula_cell,273,
Mi14,248,
MeTu1,244,
LLPC2,235,
Tm8,234,
LC10a,234,
TmY15,225,
Dm12,214,
Dm9,204,
LC10c,203,
JO-E,194,
LC10d,188,
CB3819,179,
CB3832,173,
Y1,165,
Dm11,151,
CB3846,150,
TmY16,149,
Y4,149,
Pm4,148,
MTe01,139,
CB3848,138,
Tlp1,133,
LB3,131,
CB3820,126,
CB3828,113,
CB3857,111,
CB3836,106,
LC10e,103,
LC28,102,
MeTu2,100,
JO-F,98,
MTe51,98,
JO-A,94,
Tlp4,94,
Dm20,93,
CB3823,93,
CB3845,92,
CB3833,92,
CB3849,92,
CB3830,89,
CB3818,83,
LC10b,83,
CB3847,82,
ORN_VM6,80,
cLP02,79,
mAL,77,
Dm4,77,
TPMN,75,
MTe02,74,
CB3856,73,
CB3825,69,
CB3822,68,
Dm1,68,
LCe01,65,
Dm6,64,
BM_Taste,64,
JO-FVA,58,
CB3826,58,
CB3834,57,
CB3824,56,
Tlp6,56,
MTe50,54,
MTe54,54,
CB3854,54,
LCe02,53,
BM_vOcci_vPoOr,52,
cLP01,50,
LPTe01,49,
Dm13,49,
CB3853,48,
MTe03,47,
LC20a,46,
LC20b,45,
Dm18,44,
JO-EVM,44,
CB3837,44,
MTe52,42,
Pm1a,41,
BM_Ant,41,
PI,40,
JO-EDM,40,
LB2,39,
cLP03,39,
JO-mz,38,
LC14b,38,
CB3815,38,
LCe03,37,
BM_Vib,37,
CB3855,37,
LCe04,37,
CB3831,36,
LC31a,35,
CB3821,35,
CB3850,33,
CB3829,32,
ORN_VC3,31,
LC14a1,30,
BM_MaPa,30,
MTe04,30,
lLN1_bc,30,
Dm14,29,
Mt4,28,
LB1a,28,
JO-D,28,
Dm19,28,
JO-EVL,27,
JO-C,26,
CB3817,26,
Li13,26,
CB1078,26,
CB2517,26,
CB0943,25,
ORN_VC5,25,
CB0958,25,
JO-EV,23,
LC14a2,23,
MTe05,23,
JO-FDA,22,
CB1876,22,
CB.FB9D0,21,
CB1225,21,
CB1964,20,
CB.FB5D4,20,
CB1786,20,
CB2081,19,
LCe05,19,
DNg12_b,18,
DNpe008,18,
CB1239,18,
CB1178,18,
CB1079,18,
JO-EVP,18,
CB1791,18,
CB1324,18,
CB3840,18,
MTe06,18,
JO-CA,17,
cL01,17,
CB1556,17,
CB1479,17,
Li2,17,
DNge091,17,
"CB.FB3,4A2",16,
CB1617,16,
CB1154,16,
DNg07,16,
LCe09,16,
CB1125,16,
CB1469,16,
CB1008,16,
CB0979,16,
MeMe_e02,16,
DNge071,16,
LTe09,15,
MTe07,15,
CB1394,15,
cM08,15,
CB1648,15,
LC19,15,
CB1997,15,
OCC02b,15,
SMP106a,15,
CB0959,15,
CB.FB6B1,14,
CB1359,14,
CB1138,14,
CB.FB9C0,14,
DNge094,14,
cL02b,14,
CB2108,14,
CB1207,14,
LB1b,14,
DNg08_a,14,
CB1109,14,
CB0955,14,
"CB.FB3,4I3",14,
MTe53,14,
CB1937,14,
BM_Fr,13,
CB.FB8E1,13,
CB1046,13,
CB1231,13,
CB2901,13,
CB1571,13,
JO-DP,13,
PLP042c,13,
BM_FrOr,13,
cM19,13,
CB2317,13,
lLN2X12,13,
CB1932,13,
JO-EDC,13,
CB.FB7D0,13,
MeMe_e08,12,
LCe07,12,
DNg10,12,
CB0960,12,
MTe08,12,
CB2989,12,
CB1357,12,
CB1296,12,
JO-DA,12,
CB1759,12,
CB1482,12,
LTe58,12,
DNge019,12,
CB1622,12,
CB1072,12,
CB1423,12,
CB1978,12,
JO-EDP,12,
BM_dPoOr,12,
CB1055,12,
CB1209,12,
CB1761,12,
CB1094,12,
CB2881,12,
CB1042,12,
CB2071,11,
CB1220,11,
CB0986,11,
CB1542,11,
CB2353,11,
CB1038,11,
CB1456,11,
CB2242,11,
CB1206,11,
CB3842,11,
CB.FB7E2,11,
DNge085,11,
LCe06,11,
CB1712,11,
CB0980,11,
CB2054,11,
CB1789,11,
CB1029,11,
